"","varnames","totfatmalefull","totfatfemalefull","totleanmalefull","totleanfemalefull","totfatpmalefull","totfatpfemalefull","trunkfatmalefull","trunkfatfemalefull","l1fatmalefull","l1fatfemalefull","appleanmalefull","appleanfemalefull","totfatmaletanita","totfatfemaletanita","totleanmaletanita","totleanfemaletanita","totfatpmaletanita","totfatpfemaletanita","trunkfatmaletanita","trunkfatfemaletanita","l1fatmaletanita","l1fatfemaletanita","appleanmaletanita","appleanfemaletanita","totfatmaletanitac","totfatfemaletanitac","totleanmaletanitac","totleanfemaletanitac","totfatpmaletanitac","totfatpfemaletanitac","trunkfatmaletanitac","trunkfatfemaletanitac","l1fatmaletanitac","l1fatfemaletanitac","appleanmaletanitac","appleanfemaletanitac","totfatmaletanitas","totfatfemaletanitas","totleanmaletanitas","totleanfemaletanitas","totfatpmaletanitas","totfatpfemaletanitas","trunkfatmaletanitas","trunkfatfemaletanitas","l1fatmaletanitas","l1fatfemaletanitas","appleanmaletanitas","appleanfemaletanitas","totfatmaletanitag","totfatfemaletanitag","totleanmaletanitag","totleanfemaletanitag","totfatpmaletanitag","totfatpfemaletanitag","trunkfatmaletanitag","trunkfatfemaletanitag","l1fatmaletanitag","l1fatfemaletanitag","appleanmaletanitag","appleanfemaletanitag","totfatmalecircum","totfatfemalecircum","totleanmalecircum","totleanfemalecircum","totfatpmalecircum","totfatpfemalecircum","trunkfatmalecircum","trunkfatfemalecircum","l1fatmalecircum","l1fatfemalecircum","appleanmalecircum","appleanfemalecircum","totfatmalecircumskin","totfatfemalecircumskin","totleanmalecircumskin","totleanfemalecircumskin","totfatpmalecircumskin","totfatpfemalecircumskin","trunkfatmalecircumskin","trunkfatfemalecircumskin","l1fatmalecircumskin","l1fatfemalecircumskin","appleanmalecircumskin","appleanfemalecircumskin"
"1","int",-10837.3789075177,-7559.36629795033,-570.180308890187,-2530.45574126147,-7.83322214177425,-8.97217046550831,-21.3806905172721,-19.2045432134925,-6.57512279231415,-19.3446187126919,3195.98968743718,676.308194079627,-4859.34214223919,-13814.9576394269,-12646.4423267528,-5367.65981594485,-11.0514328477012,-9.94622837356451,-9.1412162809933,-23.3666233075071,-12.3283196599276,-22.8604048953663,-8709.84994296146,-108.995261002368,6040.32350116297,-4535.64269976665,5705.13096837475,-4101.04792318196,14.185249265069,4.89518604786661,8.2550275603953,-2.54265986898832,9.67791660705603,-1.1863444321701,-7940.58124080828,-2949.49857483066,-4128.19810409395,-15377.2867210266,-2908.31640434351,193.88491310372,-20.4683607997416,-20.1987081916497,-24.2075510967184,-32.6077386224551,-21.7948584762639,-41.3860576171096,13193.3932102442,-1156.00198064203,-7296.03473915086,-15175.6682710488,-10801.9085949147,-3320.43790821573,-5.46517091663419,-9.21192719463036,-7.73542008461082,-20.0516714137315,-12.6147789855433,-20.5754717958995,-7616.08743116761,-5305.92752249604,-2545.37501327649,15279.639409583,-8644.91782173073,-16536.9270469965,19.8871902504949,95.5495654970937,-3.07988186984914,124.556854034357,-5.61989136563125,60.4275736742618,-11996.5480523754,-5069.03056882654,-23930.0661555335,8102.00939373553,8225.04911287151,-2351.81845127998,-48.3847241633564,19.6895173981427,-64.0699404564256,51.958767715217,-21.6775324404932,11.294406953787,5619.84259171483,206.501781478013
"2","ha1q37_10i_seg_la_pcent",0,0.775246026318476,0,0,0,0.173791923478157,0,0.161186350789754,0,0.228895193082053,14.8612868820169,0,-28.9376831379204,27.7212591524932,0,0,0,0.20521189431152,0,0.242160929744631,0,0.311778421472981,33.0865488783273,-16.6172205716917,0,23.9211441830731,-10.4684077466026,-5.69227849763509,0,0.200041373806524,0,0.255320638822727,0,0.296051465131747,26.7401776571644,-10.8705304880248,52.5219407089895,0,0,0,0,0.123037293414427,-0.0151188454663201,0.137573768260304,0,0.203775020882184,12.8293013952325,-0.281575167561933,-0.394321841329623,18.8598755033857,0,-44.754887445875,0,0.22697817886179,0,0.264813596547025,0,0.305413071998252,22.7953738296091,-24.1803660011962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ha1q37_10ii_seg_la_mass",-515.572020549399,0,-746.412077383796,0,-0.385143612855605,-2.8863479381846,-0.859600825455855,-3.27903341657337,-1.74003158484691,-4.18542331041144,0,645.081588075703,0,0,0,0,-1.46308045979494,-2.60229711964136,-1.35209359458191,-3.95821491395472,-1.3178094574541,-5.91397196275011,0,808.776181850753,0,0,-1182.9648855159,99.8741482892981,0,-2.71327567284062,0,-4.74176136314082,-0.712276305455644,-5.28003733797861,0,881.034472674107,-714.64963591382,187.760497396981,-89.4623820986789,0,-0.482744400951597,-1.18881542472394,-2.12765591174263,-2.78699336973785,-1.94007599095924,-3.76844667166941,-439.082663119374,442.971325544509,0,0,0,0,0,-3.0539068601331,-0.866043282397862,-4.9711711475172,-0.879983547571759,-5.42714065206198,0,883.757043471955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ha1q37_10iii_seg_la_free_mass",0,0,0,227.080658004744,0,0,0,0,0,1.23826725900406,0,289.639474536502,0,0,0,89.7444373414361,0,0,0,0.0946277918878694,0,4.69280857411196,0,0,0,0,0,316.563809848956,0,0,0,0.664047914516117,0,1.38380304064533,0,75.9818868816445,356.462651568464,-28.0434938495222,0,357.045003177135,0,0,0,0.0701612953974643,0,1.59965470017703,-394.457988217931,61.7180688419316,0,0,0,0,0,0,0,0.920733822377919,0,2.55056966772612,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ha1q37_10iv_seg_la_muscle",222.504931867927,-196.239825891395,0,2042.42949892336,0,0,0,0,0,0,10.8828939405022,998.792402067857,0,-294.056524850927,0,2364.2883498242,0,-0.146549513736714,0,0,0,-1.50585022362985,0,936.38693210578,0,-478.313244227775,0,2424.89468744967,0,-0.775216398352973,0,0,0,0,0,1228.75257075489,1597.57316473414,-19.9117262987554,0,1896.52345967418,0,-0.000443388294127697,0,0,0,0,-100.962146207246,752.152016457758,0,-562.672802671992,0,1438.87163596046,0,-0.00487137605477219,0,0,0,0,0,972.829506070418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ha1q37_11i_seg_tr_pcent",27.2018756378216,0,95.332821214259,1.66388193274581,0.110664912514173,0.0325159621858893,0.0721969854970659,0.145555907321756,0.154283012524767,0.0898394708265974,56.9750555608157,2.00850274917897,0,18.257468769779,65.1074844520222,0,0.197896628765604,0.0465514518408113,0.241450667067018,0.213693623013657,0.313566890804237,0.199490804873972,0,1.60987420279014,0,5.87107061092221,54.7566463412457,0,0.251639528407462,0,0.220031955157938,0.190427040638907,0.28958849349521,0.127983369962937,19.1652913691042,0,38.1316128188153,0,138.691010635958,18.5152946404906,0.103598514066774,0.0624990103526189,0.0181389749039994,0.214711390515586,0.134469274430618,0.132926768182665,52.1308473817965,13.1984628903848,0,1.74770921369492,57.7432320181894,15.6382766051365,0.315766980648223,0.0323749666844546,0.27301878709391,0.235894174822904,0.346538402361273,0.180163637524847,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ha1q37_11ii_seg_tr_mass",532.859868134388,322.729178366429,122.753367071208,222.088887558936,0,0,0.0307990078534317,0,0.000702585177710208,0.268479738701512,17.2337089483577,82.1222014368803,710.22278507145,310.160849694704,0,141.437081045493,0.503527834505115,0,0.528497171064532,0,0.551039418840164,0.379498038482085,0,88.5491436636689,622.585226157931,298.199301226882,0,212.934843144894,0.05662503576559,0,0.183170389605754,0,0.117052802151989,0.106256288725322,0,130.424257800139,525.641581718075,349.288290843442,18.7556364961721,220.720625659056,0.168749360559433,0.00146492390654864,0.181632938616981,0.138350325019436,0.372384112900629,0.470408452333987,-35.0735949060838,41.0984063755208,690.078264562904,331.747305190771,0,119.833488557329,0.0111871745512801,0,0.438681634177553,0,0.466337982453992,0.321122832429466,0,69.3794428140137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ha1q37_11iii_seg_tr_free_mass",168.426024869069,0,536.426926017605,182.604102750013,0,0,0,0.153768614369224,0.0457602118701562,0.164425006517554,250.001787828576,141.522430095185,0,0,397.623109820957,260.336359994143,0,0,0.0710673231882213,0,0.0982084189195413,0,173.999814338651,220.815550402992,0,0,673.364127546458,282.428694361771,0,0,0,0.213043988057413,0.0495296094241592,0.159941054439397,274.441122548574,183.039954864873,251.004983631445,0,460.560196433162,258.55765279994,0,0,0.060275545309669,0,0.0166266640921528,0,579.681006045742,159.103077692313,0,0,392.996007606405,361.100847493968,0.0525444405751442,0,0.08701024211854,0,0.139366068564611,0,190.156068911679,133.660600872321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ha1q37_11iv_seg_tr_muscle",-36.1481591531349,72.3888240487235,24.525499573937,119.025417641994,0,0.0391121680529519,0,0.0633533062654356,0,0,0,0,0,17.545814274986,0,15.0807321971669,0,0.0620030605226463,0,0.0738512192780977,0,0.135469729055302,0,0,0,61.0445848228237,0,97.1634004336226,0,0.0991194046702,0,0.0652143439423085,0,0,0,0,-182.270979903045,16.0991105956017,29.6524545655732,125.011266001845,0,0,0,0.113882379291716,0,0.00367810205972483,-87.6750577276779,0,0,51.3709597810264,0,49.2693492548677,0,0.121509031760254,0,0.174532681597437,0,0.167393913946417,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ha1q37_2_weight",87.8708064453615,161.270845954967,28.143253781316,158.488189046877,0,0,0,0,0,0,14.9552567143251,38.3306075577739,190.976497504501,213.92688789245,58.2604045751734,187.377306092946,0.0229898903492601,0,0,0,0,0,0,0.601081952617937,173.401104199375,147.124212032649,0,78.3135590642661,0,0,0,0,0,0,0,4.70602865824647,114.699644304549,189.723910666215,16.4077544758173,132.095860862232,0,0,0,0,0,0,0,36.2499446152711,195.27793764048,212.592363363449,100.726401204694,56.7037015335043,0.121981035684141,0,0,0,0,0,0,17.8565359844002,586.382666748915,402.748670544085,375.377690374144,438.601432065763,0,-0.673965851041607,0,-0.786568878112261,0,-0.37678725589424,187.674068174295,264.691712258492,389.741431658323,415.065275699088,552.900652065333,399.906806051755,-0.123215415207983,-0.130136123707988,-0.11228038722922,-0.280906555160738,0,0,262.239055490799,206.366587370475
